PREDC_ANLS_DT,SGG_NM,LNLD_FRCST_NM
20250826030000,충청남도 보령시,주의보
20250826030000,충청남도 태안군,주의보
20250826050000,세종특별자치시,주의보
20250826050000,충청북도 청주시 흥덕구,주의보
20250826050000,강원특별자치도 철원군,주의보
20250826050000,충청남도 천안시 동남구,주의보
20250826110000,경기도 가평군,주의보
20250826080000,경기도 가평군,주의보
20250826080000,강원특별자치도 화천군,주의보
20250826080000,경기도 포천시,주의보
20250826080000,강원특별자치도 철원군,주의보
20250826080000,충청남도 서천군,
20250826120000,경상남도 산청군,주의보
20250826090000,경기도 가평군,
20250826090000,강원특별자치도 화천군,
20250826090000,경기도 포천시,
20250826100000,경기도 포천시,주의보
20250826060000,경기도 연천군,주의보
20250826060000,경기도 포천시,주의보
20250826060000,충청북도 진천군,주의보
20250826060000,충청북도 증평군,주의보
20250826060000,충청북도 음성군,주의보
20250826070000,경기도 연천군,
20250826070000,강원특별자치도 화천군,주의보
20250826070000,경기도 포천시,
20250826070000,강원특별자치도 철원군,주의보
